"","id","gender","age_4","education","work_experience_4","ethnicity","VR_total","LN_total","MX_total","R3D_total","g_total","H_self","E_self","X_self","A_self","C_self","O_self","H_observer","E_observer","X_observer","A_observer","C_observer","O_observer","g_H_observer","g_E_observer","g_X_observer","g_A_observer","g_C_observer","g_O_observer","p_H_observer","p_E_observer","p_X_observer","p_A_observer","p_C_observer","p_O_observer"
"11","55ca5305fdf99b498b73f29c",1,26,6,9.5,1,10,0,1,0,11,2,1.75,3.125,1.5625,4.5625,1.9375,3.253125,2.86875,2.940625,3.1875,3.71875,3.05625,3.44375,3.075,3.4375,3.30625,3.7875,3,3.24375,2.4875,2.49375,3.1125,3.4625,3.2
"12","56588a127d69570012dfe00a",1,36.1,4,17.4,2,8,1,1,1,11,2.875,2.9375,2.75,3.25,3.25,3.375,2.8875,2.834375,3.578125,3.2875,3.46875,2.996875,3.16875,2.875,3.4625,3.2625,3.9125,3.3125,2.76875,2.54375,3.66875,3.575,2.9,2.2375
"13","5694e7b5e0c800000b5a3841",1,49.1,2,36.1,1,11,3,0,2,16,4.75,1.9375,3.4375,3.8125,4.375,3.9375,3.025,2.7875,2.875,2.978125,2.890625,3,3.15,2.75,3.03125,3.025,3.25625,3.325,3.3375,2.275,2.51875,3.2625,2.36875,2.1875
"14","56ac1289f209e0000cdabbe6",1,52.2,3,30.1,1,13,4,1,0,18,3.9375,3.5,3.625,2.9375,4.125,4.6875,3.125,2.76875,3.1,3.45625,3.5125,3.115625,3.41875,2.9625,3.01875,3.575,3.35,3.35625,3.2375,2.39375,3.01875,3.56875,3.6375,2.4625
"15","56cc78e3ccc0e20006b82a7d",1,32.5,3,18.3,1,14,2,2,2,20,4.625,2.0625,4.75,4.5,4.375,4.875,3.346875,3.159375,3.2625,3.365625,2.95625,3.0625,3.65,3.2375,3.04375,3.25625,3.1125,3.19375,3.6125,3.13125,3.5625,3.825,3.00625,2.975
"16","56e6a66af6ed900006a5867c",1,42.9,2,21.4,1,10,3,3,0,16,3.375,4.3125,1.9375,3.8125,4,4,3.409375,3.3,2.496875,3.496875,3.565625,3.315625,NA,NA,NA,NA,NA,NA,3.33125,3.15625,2.91875,3.45,3.725,3.26875
"17","571f8b7d936f5f0009c6d7c9",2,59.6,3,40,1,5,1,2,0,8,4.125,3.3125,4.1875,3.75,4.4375,3.375,3.409375,3.14375,2.90833333333333,3.33229166666667,3.19375,3.096875,3.94375,3.2625,3.2125,3.5375,3.3625,3.21875,3.1375,2.9875,2.625,3.225,3,2.975
"18","572036a1fd3a5200093c126b",2,45,4,21.9,1,14,4,4,0,22,3.25,2.0625,1.75,2.625,4.125,1.625,3.04375,2.74375,2.75625,2.371875,3.6125,2.99375,3.3625,2.7,2.95,2.66875,3.4,3.26875,3.325,2.80625,2.3,2.25625,3.84375,2.4625
"19","5733464fbc6923000fcd2de1",2,52.2,5,32.7,1,15,4,4,4,27,4.0625,1.5625,4,3.875,4,4.25,3.209375,3.171875,3.184375,3.528125,3.3375,3.509375,3.53125,3.30625,3.3875,3.69375,3.35625,3.4875,3.375,2.93125,2.7375,3.6625,3.4875,3.4
"20","57658ec09dcd970001dbdbd5",1,34,4,8,1,13,0,2,0,15,3,2.8125,2.9375,3.1875,3.25,3.625,3.08125,2.81875,2.815625,3.515625,3.334375,3.3875,3.475,3.1,2.7,3.55,3.68125,3.58125,2.95,2.44375,2.9875,3.4,2.95625,3.2125
"21","579a4c6a82f7f90001ee9d92",2,52,3,25.1,1,10,2,3,1,16,3.5625,3.4375,3.25,3.6875,3.9375,4,3.25625,3.215625,2.559375,3.3,3.596875,3.071875,3.475,3.4625,2.75,3.38125,3.475,3.18125,3.19375,3.0625,2.1625,3.2,3.59375,2.84375
"22","57e7bb4e73e67300012b8e2a",2,54,3,30,1,11,3,4,1,19,3.875,3.58333333333333,3.9375,3.25,3.5625,3.9375,3.5375,3.16875,3.5375,3.2,3.2,2.978125,4.00625,2.90625,3.2375,3.21875,3.69375,3.2875,3.475,3.4375,3.83125,3.19375,2.85,2.5
"23","580d5d1f357e890001dd14ce",1,39.5,2,0,1,7,0,3,1,11,3.375,4.5625,1.8125,2.8125,2.75,3.6875,3.3125,3.33333333333333,2.48541666666667,2.67083333333333,2.24166666666667,3.65416666666667,3.325,3.525,2.8,2.8125,2.0125,3.6375,3.9,3.35,2.5,2.5,2.75,4
"24","58509fbda6946500016117ed",1,35,3,16,1,11,4,1,0,16,3.9375,3.6875,2.9375,3.75,4.5625,3.6875,3.06875,2.921875,3.478125,3.575,3.796875,3.2,3.6125,3.04375,3.575,3.55,3.51875,3.325,2.84375,2.49375,3.3625,3.225,3.9125,3.00625
"25","586935b7e16d530001b34787",1,34.6,4,18,1,12,3,2,0,17,4.25,2.0625,2.1875,3.375,4.375,3.9375,3.1125,2.784375,3.284375,3.253125,3.509375,3.034375,3.58125,2.95625,3.34375,3.1875,3.26875,3.4,3.275,2.2375,3.1875,3.36875,3.8375,2.475
"26","58a1fe40ea3d11000170d9b9",2,30.7,3,5.3,1,7,2,2,0,11,3.5,4.4375,2.5,3.0625,4.75,3.75,3.378125,3.07916666666667,2.91354166666667,3.29791666666667,3.671875,3.31666666666667,3.525,2.95,3.025,3.29166666666667,3.64166666666667,3.40833333333333,3.74375,2.98125,2.3,3.51875,3.7625,3.2625
"27","58adfc6e7cf56d0001f931a2",1,25.6,3,0,2,11,3,1,0,15,3.625,3,3.5625,3.5,2.75,3.1875,2.77708333333333,2.771875,3.25,3.58541666666667,2.89895833333333,2.87395833333333,3.325,2.93125,3.0875,3.05,3.375,2.99375,2.26666666666667,2.29166666666667,3.83333333333333,4.23333333333333,2.06666666666667,2.16666666666667
"28","58c1ce3c3783090001b49355",2,45.1,4,25.2,1,6,1,2,0,9,3.25,4.375,1.125,1.5,4.3125,2,3.3,3.159375,3.196875,2.846875,3.753125,3.14375,3.575,3.3,3.1875,2.89375,3.85625,3.2625,3.55,3.09375,2.9,2.98125,3.95625,2.95
"29","58f0fca0d40252000192f201",1,41.7,5,16.1,1,15,2,1,1,19,3.4375,2.875,4.125,3.375,3,3.8125,3.01875,2.678125,3.15625,3.2625,2.878125,3.20625,3.18125,2.55,3.5375,3.18125,3.31875,3.4375,3.1375,2.04375,2.58125,3.3625,2.39375,2.60625
"30","59014ee029f42300013cc5b7",2,35,3,5.4,6,6,1,1,0,8,5,3,1.9375,3.5625,3.6875,3.375,3.471875,3.265625,3.05,3.621875,3.653125,3.1,3.85625,3.4,3.00625,3.59375,3.85,3.2875,3.48125,3.2875,2.75625,3.6875,3.71875,2.73125
"31","594ad91fa6fb8200018f720c",2,24,2,3.6,8,12,1,2,0,15,3.875,3.5625,2.0625,3.3125,3.75,3.5,3.2375,3.075,3.140625,3.565625,3.75625,3.428125,3.6875,2.8625,3.2875,3.7,3.9375,3.7,3.20625,3.1,2.88125,3.5125,3.68125,3.175
"32","5977e3867412f8000194e1fe",1,43,6,18.6,1,13,4,3,3,23,2.5625,3.25,3.1875,3,3.125,3.9375,3.059375,2.909375,3.453125,3.275,3.284375,3.51875,3.58125,3.00625,3.65625,3.65,3.2125,3.71875,2.9625,2.825,2.9875,3.0875,3.34375,3.1125
"33","59894fbbda239a0001fb8e16",2,62.1,4,42.6,1,8,1,1,1,11,3.75,3.4375,3.5,3.5625,3.5,3.5,3.25625,3.10625,2.778125,3.428125,3.325,2.978125,3.5375,3.11875,3.025,3.525,3.3125,3.11875,2.99375,3.275,2.58125,3.29375,3.4375,2.85
"34","598ba20f716a2c000187ce01",1,51.6,4,30.5,2,13,3,4,3,23,4.375,3.5625,2.3125,2.9375,4,3.1875,3.428125,3.134375,3.05,3.496875,3.6625,2.98125,3.44375,3.13125,3.0625,3.45625,3.41875,3.05625,4.03125,3.225,2.75625,3.75,3.775,2.7
"35","599e1bb6c6dab70001403c52",2,38,4,18.1,2,6,1,1,0,8,3.875,3.0625,3,3.5625,3.75,4.25,3.371875,3.23125,3.6,3.440625,3.50625,3.628125,3.69375,3.41875,3.8375,3.5,3.65625,3.6875,3.5,3.21875,3.51875,3.58125,3.3625,3.39375
"36","59aba109d4ef6600011211c9",2,49.1,3,23.9,1,6,1,1,0,8,2.9375,3.75,3.1875,3.0625,3.8125,3.5625,3.18125,3.134375,3.228125,3.315625,3.390625,3.459375,3.39375,3.3125,3.31875,3.6125,3.325,3.4625,3.075,2.775,2.93125,2.90625,3.525,3.53125
"37","59c664453306be000195bb0c",2,56.3,5,30.3,1,14,3,3,1,21,3.75,2.8125,3.625,3.375,4.25,4,2.9,3.1625,3.365625,3.059375,3.225,3.228125,2.96875,3.2,3.575,2.9625,3,3.31875,3.04375,3.29375,3.45,3.19375,3.54375,3.225
"38","59ca6d5b46f72100019069c0",1,55.8,5,33.9,1,12,2,2,2,18,2.875,2.125,3.1875,1.875,4.0625,4.4375,3.1625,2.615625,3.465625,3.19375,3.353125,3.6625,3.25625,2.65,3.26875,3.26875,3.53125,3.79375,3.71875,2.58125,3.35625,3.2375,2.95,3.5625
"39","59d6b8f103203500011ace12",2,58.8,5,31.2,1,14,2,3,0,19,4.375,4.25,4.1875,4.4375,5,3.375,3.471875,3.740625,3.153125,3.490625,3.7125,3.053125,3.575,3.89375,3.28125,3.59375,3.48125,3.25,3.38125,3.5625,2.61875,3.2,3.70625,2.68125
"40","59f78f90a764fc000135f6e6",2,37.5,5,15.1,9,15,4,3,4,26,4.5,2.375,3.9375,4,4.5625,4.125,3.45,3.09375,2.596875,3.465625,3.565625,3.55,3.76875,3.20625,2.525,3.3,3.86875,3.55,3.73125,2.9625,2.38125,4.0625,3.95,3.61875
"41","5a03d20a7ecfc50001be0a7a",2,37.8,7,13.3,1,12,1,1,0,14,4.125,3.4375,3.5625,3,4.0625,4.625,3.33125,3.11875,3.575,3.009375,3.653125,3.31875,3.625,3.05625,3.59375,3.49375,3.45625,3.66875,3.525,2.85,3.525,2.28125,3.95,2.8875
"42","5a08c9a7f2e3460001edb063",2,26,4,1,1,11,1,1,1,14,3.875,4.375,1.875,3.8125,2.75,4,3.384375,3.440625,2.365625,3.71875,2.921875,3.14375,3.40625,3.2625,2.725,3.65,2.9375,3.1,3.4625,3.5375,1.94375,3.69375,2.725,3.4
"43","5a198755f2e3460001edc5c9",1,34,2,16,1,13,0,2,1,16,4.6875,3.5625,2.875,4.0625,4.0625,2.5,3.353125,3.034375,3.140625,3.6,3.290625,2.975,3.75,3.4,3.38125,3.68125,3.2875,3.2125,3.625,2.8125,2.975,3.5625,3.525,2.81875
"44","5a348ea750833c0001ee9550",2,35,4,17.9,1,11,2,3,0,16,3,3.6875,3.5625,3.125,3.9375,4,3.534375,3.15208333333333,2.87708333333333,3.60416666666667,3.78333333333333,3.55520833333333,3.875,3.125,3.475,3.25,4.05833333333333,3.60833333333333,3.6375,3.0625,2.075,3.3875,3.6125,3.49375
"45","5a443812817d1800018d1179",2,34.8,2,10,2,6,2,0,1,9,3.375,3.5,2.375,3.125,3.4375,4.125,3.25,3.45,2.7875,2.95625,3.153125,3.115625,3.31875,3.3125,2.9375,3.2875,3.2875,3.28125,2.84375,3.4875,2.94375,2.275,2.80625,2.63125
"46","5a57cb50acc75b00017a2b01",2,38.1,5,14.8,1,12,3,2,2,19,3.625,3.75,3.8125,3.375,3.9375,4.4375,3.3,2.996875,3.21875,3.75625,3.453125,3.00625,3.19375,3.0125,3.2125,3.375,3.16875,3.175,3.51875,2.5375,3.18125,3.80625,3.7625,2.65
"47","5a8352feae9a0b0001a9da8f",2,58,4,30.4,1,6,0,1,0,7,4.125,3.5,3.0625,3.5,3.625,3.25,3.278125,3.13125,2.9375,2.95625,3.20625,2.94375,3.5875,3.16875,2.975,3.38125,3.3125,3.05,3.00625,3.1,2.8125,2.575,2.8625,2.55625
"48","5a8ac2d8f49c9a0001f3ab34",2,36,3,19.1,2,8,0,0,0,8,3.0625,3.4375,3,4,3.9375,4.0625,3.121875,3.15,3.1,3.440625,3.2375,3.009375,3.4375,3.19375,3.125,3.5125,3.56875,3.25,2.65,3.24375,3.0625,3.31875,2.5625,2.4375
"49","5a8d1e105292b800012342c9",2,46,4,20.6,1,13,4,4,3,24,5,4.5625,3.4375,3.8125,4.9375,4.4375,3.19375,3.003125,3.065625,3.4625,3.86875,3.078125,3.4875,2.95625,2.84375,3.6,3.95625,3.2,3.09375,2.8375,3.33125,3.04375,3.925,2.91875
"50","5a8d8079190420000156435d",1,38.1,4,16,1,14,4,4,2,24,3.75,2.5,4.125,3.375,4.6875,4.125,3.028125,2.803125,3.15,3.334375,3.059375,3.05625,3.21875,2.90625,3.175,3.13125,3.15,2.9125,2.81875,2.35,3.325,3.625,2.45,3.25
"51","5a92d74035237b0001123af1",2,26,4,4.7,2,10,0,1,1,12,3.875,3.75,3.5625,3,3.0625,4,3.296875,3.2375,3.38125,3.65,3.20625,3.371875,3.65,3.2125,3.2,3.68125,3.125,3.525,3.1375,3.2375,3.5875,3.50625,3.1625,2.89375
"52","5a9416ba6475f900019fa690",1,28,3,10,1,11,1,2,0,14,2.5,3.875,2.8125,2.3125,3.875,3.75,3.01875,2.94375,3.146875,3.6125,3.565625,3.2375,3.16875,3.1,3.0625,3.38125,3.19375,3.16875,3.1125,2.5375,2.90625,3.99375,3.925,3.35
"53","5a95fee189de8200013eddd4",2,40,3,20,1,7,3,4,0,14,4.6875,3.5625,3.75,4,4.3125,3.4375,3.253125,3.178125,2.96875,3.346875,2.921875,3.021875,3.3375,2.99375,3.18125,3.65,3.14375,3.34375,3.36875,3.3125,2.8125,2.9125,2.89375,2.7
"54","5aa3609e6475f90001a04905",1,26.3,4,8.1,1,11,4,1,0,16,3.3125,3.4375,3.25,4.3125,3.625,2.375,3.25,2.89375,3.09375,3.25,3.5,2.8875,3.53125,2.825,3.25,3.325,3.41875,3.025,3.225,2.725,2.8625,3.25625,3.275,2.4
"55","5adef850eb60400001539109",1,25,3,1.1,6,12,3,2,4,21,2.6875,2.5625,3.3125,3.25,4,2.875,2.93125,2.8,2.821875,3.175,3.159375,2.959375,3.1375,2.9,3.11875,3.13125,3.3,3.125,2.73125,2.375,2.5,2.88125,2.95,2.3
"56","5aea9a59852ddf0001ced15e",1,42.3,5,22,1,13,4,2,0,19,4.0625,3.10416666666667,3.5625,3.625,2.9375,3.4375,3.540625,2.928125,3.409375,3.35,3.3125,3.08125,3.84375,2.95625,3.05,3.08125,3.25,3.0375,3.48125,2.90625,3.875,3.625,3.3375,3.1375
"57","5b0d1b8e444cef0001ca66ac",2,58,3,21.2,1,14,3,2,3,22,3.4375,3.5,2.1875,2.5,3.9375,3.625,3.359375,3.178125,2.6875,3.325,3.8125,3.04375,3.76875,3.10625,2.6,3.25,3.6125,3.1,3.475,3.29375,2.625,3.26875,4.05625,3
"58","5b1200ffd282ff00015c0154",1,35,3,16,4,10,2,3,0,15,4.9375,3.0625,3.125,3.25,3,4.625,3.184375,2.99791666666667,2.95208333333333,3.54375,3.490625,2.9375,3.71666666666667,3.11666666666667,2.85833333333333,3.31666666666667,3.41666666666667,2.95,2.95625,2.775,2.95625,3.6875,3.50625,2.66875
"59","5b214ff965753400017af117",1,24.1,4,2.5,1,13,2,2,0,17,3.1875,3.25,2.75,2.5625,3.1875,3.8125,3.415625,3.2125,2.8625,3.371875,3.134375,3.565625,3.16875,3.06875,3.3125,3.00625,3.19375,3.575,4.025,3.23125,2.24375,3.63125,2.9875,3.4125
"60","5b2489070ec82d0001d1dbb2",2,44,5,17.3,1,14,1,2,0,17,4.6875,3.5,3.3125,2.75,4.5,3.5,3.346875,2.940625,3.059375,2.9,3.61875,3.071875,3.425,3.0125,3.175,2.96875,3.7125,3.18125,3.575,2.84375,2.90625,3.05625,3.78125,2.925
"61","5b6c72f29dc5550001f8a514",1,37,4,22,1,11,3,3,0,17,3.5625,2.75,2.8125,3.125,4,4.0625,3.184375,2.634375,3.0875,3.0625,3.7,3.15,3.51875,2.66875,3.2125,3.18125,3.38125,3.125,3.2375,2.4875,3.25,2.80625,3.9875,3.30625
"62","5b7332e8fd718d00013d0655",2,27,4,1.2,6,14,4,4,2,24,3.6875,3.5625,3.3125,2.1875,3.4375,4.4375,3.25833333333333,3.22083333333333,2.95416666666667,3.22083333333333,3.04166666666667,3.16666666666667,3.5875,3.1875,3.6625,2.9875,3.225,3.575,3.2,3.3,2.33333333333333,3.43333333333333,2.53333333333333,3.1
"63","5b894987e79bf50001e1ff95",2,50.1,5,25,1,13,3,4,2,22,2.75,4.25,2.375,2.1875,4.125,3.5625,3.35625,3.39375,2.7625,2.953125,3.665625,3.20625,3.425,3.4375,3.0375,3.4875,3.91875,3.44375,3.33125,3.55625,2.35,2.4375,3.6875,2.7875
"64","5b95ff3a21e7200001f5a795",2,38.7,3,6.4,1,12,4,3,1,20,4.5625,3.0625,3.5,3.75,2.8125,4,3.175,2.95416666666667,2.84166666666667,3.54583333333333,2.55833333333333,3.27083333333333,3,2.95,2.775,3.3875,2.6625,3.6375,3.65,2.8375,3.075,3.575,2.7375,3.0125
"65","5b9c1a42c57b4b0001eedc61",2,55.1,4,25.2,1,8,1,3,1,13,2.875,3.5,2.75,3.5625,3.0625,4.3125,3.2625,3.571875,2.178125,3.04375,2.909375,3.0875,3.53125,3.86875,2.48125,3.1,3.05,2.91875,3.075,3.4125,1.73125,3.06875,2.84375,3.43125
"66","5ba3de31fcf3440001cd4bc1",2,38,4,10.7,1,13,0,2,0,15,3.4375,3.25,3.125,3.3125,3.625,3.8125,3.203125,3.0125,2.678125,3.284375,3.975,3.271875,3.46875,2.975,3.125,3.05625,3.95625,3.33125,3.225,2.95625,2.1625,3.33125,3.99375,3.325
"67","5bb9230a8869b10001012321",3,28.6,3,3,1,7,2,1,1,11,4.3125,4.25,3.9375,4.5,3.4375,4.5625,3.32083333333333,3.33125,3.15625,3.85416666666667,3.21875,3.41875,3.60833333333333,3.55833333333333,3.14166666666667,4.04166666666667,3.45,3.64166666666667,3.4,3.025,3.125,3.5,2.925,3.325
"68","5bbc18010cb04c00015025ce",2,34.7,3,16,1,4,1,1,1,7,4,3.5,3.125,3.5,4.3125,3.625,3.321875,3.546875,2.64375,3.540625,3.225,2.928125,3.48125,3.6875,2.53125,3.56875,3.39375,3.0875,3.025,3.44375,2.70625,3.3625,2.925,2.525
"69","5bc5356e65cfb8000154bd82",1,33.7,4,6,1,11,3,2,0,16,2.875,3.8125,2.125,1.6875,3,4.4375,3.328125,3.409375,2.915625,2.934375,3.190625,3.45,3.45,3.36875,3.25,3.3625,3.4375,3.13125,3.33125,3.3625,2.28125,2.61875,2.99375,3.46875
"70","5bc5fe53a7b320000113c150",1,23.8,2,7.7,1,14,3,1,2,20,3.0625,3.6875,2.5625,3.875,3.75,4.75,3.15833333333333,3.26041666666667,3.01354166666667,3.52604166666667,3.28854166666667,3.215625,3.1375,3.275,3.1375,3.1375,3.625,3.075,3.3875,3.14375,3.025,3.75,2.93125,3.19375
"71","5bd49bcc25db7b0001794063",3,33.6,4,7.2,1,6,1,0,0,7,4.125,4.5,2.375,2.5625,3.375,3.5,3.19375,3.065625,3.555,3.3625,3.1375,3.384375,3.36875,2.94375,3.7125,3.26875,3.0875,3.28125,3.025,3.0375,3.43125,3.28125,3.05625,3.2625
"72","5bdcd88176d6d50001bc3849",1,57.6,4,25,1,15,4,3,1,23,4.375,1.75,3.5625,3.5625,4,3.875,3.2875,2.76354166666667,3.21770833333333,3.246875,3.921875,3.27395833333333,3.34166666666667,2.91666666666667,3.16666666666667,3.275,3.81666666666667,3.325,3.9125,2.50625,3.45625,3.375,4.18125,3.34375
"73","5bdf5d0d14b3cd00019d99a3",2,24,3,2,2,8,0,2,0,10,3.25,4.125,2.875,2.625,3.875,4.25,3.228125,3.1875,2.478125,3.303125,3.265625,3.090625,3.53125,3.3,2.8,3.3125,3.14375,3.1,3.225,3.19375,2.16875,3.26875,3.55,3.18125
"74","5be76781f6d13b0001cf5257",1,32.7,3,16,1,15,3,3,3,24,4.3125,2.1875,4.9375,4.875,5,4.625,3.31875,3.115625,3.471875,3.334375,3.625,3.06875,3.4375,3.14375,3.28125,3.29375,3.65625,3.1,3.59375,2.69375,3.61875,3.5,3.6625,3.0125
"75","5bebd4111296920001d55c5a",2,38.1,5,18.4,1,14,2,1,1,18,2.625,2.625,4.5,2,3.875,3.6875,3.10625,3.159375,3.6,3.0875,3.271875,3.03125,3.29375,3.10625,3.425,3.15625,3.4375,3.0875,2.94375,3.2375,3.7375,2.95625,2.95,2.8875
"76","5bfd81fb2feab400014d9060",1,49,3,31.3,1,11,1,2,0,14,3.5625,2.5,4,3.4375,4.0625,4.125,2.946875,2.78229166666667,3.56041666666667,3.44895833333333,3.528125,2.946875,3.35,3.075,3.375,3.3375,3.875,3.0375,2.83125,2.45625,3.95625,3.60625,3.23125,2.7125
"77","5c076bc5e30c400001fc6f5a",2,49.4,4,27.4,2,9,2,1,0,12,3.5625,3.125,2.625,3.4375,3.8125,4.4375,3.35,3.21875,3.690625,3.746875,3.346875,2.946875,3.675,3.2125,3.5375,3.375,3.3625,3.05625,3.2625,3.3375,3.71875,4.05,3.34375,2.5375
"78","5c095c8a217d6000011193b8",2,34.8,3,18.5,2,8,1,1,1,11,2.9375,3.0625,3.3125,3.3125,3.8125,4.3125,3.253125,3.215625,3.375,3.740625,3.496875,3.065625,3.3375,3.25625,3.40625,3.66875,3.58125,3.11875,3.2375,3.1375,3.09375,3.83125,3.3625,2.89375
"79","5c0a22affe40eb00016262b6",2,28.1,4,10.8,1,12,2,2,0,16,2.5625,2.5625,2.875,4.25,3.625,2.375,3.30625,3.421875,2.525,3.6125,3.6125,3.546875,3.33125,3.4875,2.89375,3.50625,3.21875,3.44375,3.475,3.26875,1.98125,3.5375,3.70625,3.6375
"80","5c1a7844681a0600018e4d8d",2,37.1,2,21.1,6,8,0,2,1,11,3.1875,3,2.875,3,3.875,3.125,3.35,3.015625,2.74375,3.328125,3.30625,2.990625,3.34375,3.075,2.95625,3.225,3.21875,3.01875,3.69375,2.88125,2.63125,3.7125,3.30625,3.03125
"81","5c25e498867f660001ae0ea6",2,42,3,27,2,6,2,0,1,9,3.875,2.375,5,4.125,4.875,4.5625,3.21875,2.96875,4.096875,3.678125,3.665625,3.153125,3.69375,3.2,3.90625,3.7,3.425,3.36875,3.2625,2.3375,4.14375,3.86875,4.14375,3.0125
"82","5c2dea19d396500001e2b39d",2,29,1,5.7,1,13,1,0,1,15,4.375,4.875,2.5,2.5625,3.4375,4.125,3.146875,3.5125,2.73125,3.15,2.996875,3.34375,3.30625,3.525,3.00625,3.31875,3.3375,3.28125,2.88125,3.35,2.50625,3.00625,2.55,3.275
"83","5c35293501f27e0001094ba5",2,42,4,26.2,1,8,3,2,1,14,4,2.5,2.8125,3.1875,3.9375,4.25,3.10625,2.7875,2.728125,2.959375,3.459375,2.903125,3.6,2.5125,3.00625,3,3.425,2.8625,3.21875,3.13125,2.26875,3.075,3.53125,2.8625
"84","5c43517c8fefb60001c447fe",3,38.8,5,20,1,10,4,3,1,18,3.5625,3.3125,1.8125,2.6875,3.3125,4.6875,3.290625,2.928125,2.54375,3.415625,3.290625,3.084375,3.175,2.7375,2.90625,3.125,3.1375,3.29375,3.925,2.75,2.3,3.5625,3.45,2.49375
"85","5c5198da659655000168955d",1,45.6,4,26.8,1,7,2,2,0,11,3.75,2.875,3.875,4.1875,3.5,4.4375,3.025,2.74375,2.940625,3.040625,3.53125,3.278125,3.4375,2.85625,3.1125,3.0875,3.3625,3.58125,3.06875,2.275,2.99375,2.90625,3.5,2.4625
"86","5c54bf7d77f9e700015ef638",2,45,5,25,1,12,2,2,1,17,4.0625,3.1875,3,2.9375,4.5,3.9375,3.35625,3.090625,3.671875,3.403125,3.83125,3.553125,3.525,3.275,3.5,3.41875,3.73125,3.675,3.45,2.80625,3.84375,3.6125,3.7875,3.3375
"87","5c552224f979a40001c44e4d",1,27,4,5,6,11,0,0,0,11,2.5625,3.0625,4.875,4.625,3.0625,4,3.225,3.03125,3.140625,3.028125,3.278125,2.925,3.69375,2.98125,3.26875,3.34375,3.45625,2.9375,2.7625,3.20625,2.90625,2.5125,2.81875,2.6625
